request_id,scenario_class,username,resource,action,risk_level,location,device_compliant,session_age_s,travel_velocity_kmh,zt_granted,zt_policy_id,zt_trust_score,static_rbac_granted,latency_ms
28,"Authorized Clinical Access",nurse01,patient-records,Read,Low,"Nigeria, Lagos",true,1705,0,false,ZTP-RBAC,100,true,1.5036
29,"Lateral Access Attempt",vendor01,patient-records,Read,Low,"Nigeria, Lagos",true,1046,0,false,ZTP-RBAC,100,false,0.7084
30,"Location / Travel Anomaly",officer@hmc.com,patient-records,Read,High,"Russia, Moscow",true,1535,990,false,ZTP-02,0,false,0.6815
31,"Lateral Access Attempt",vendor01,patient-records,Read,Low,"Nigeria, Lagos",true,735,0,false,ZTP-RBAC,100,false,1.022
32,"Authorized Clinical Access",doctor01,patient-records,Read,Low,"Nigeria, Lagos",true,3565,0,true,ZTP-OK,100,true,1.7869
33,"Location / Travel Anomaly",nurse01,patient-records,Write,Medium,"Russia, Moscow",true,1434,1103,false,ZTP-02,20,false,0.7783
34,"Authorized Clinical Access",nurse01,patient-records,Read,Low,"Nigeria, Lagos",true,2279,0,false,ZTP-RBAC,100,true,1.2279
35,"Lateral Access Attempt",recordsadmin01,patient-records,Read,Low,"Nigeria, Lagos",true,1148,0,false,ZTP-RBAC,100,false,0.6069
36,"Authorized Clinical Access",nurse01,patient-records,Read,Low,"Nigeria, Lagos",true,1261,0,false,ZTP-RBAC,100,true,1.2208
37,"Location / Travel Anomaly",auditor01,patient-records,Write,Medium,"Australia, Sydney",true,3062,1028,false,ZTP-02,20,false,0.634
38,"Location / Travel Anomaly",officer@hmc.com,patient-records,Write,Medium,"Unknown / VPN",true,2845,1331,false,ZTP-02,20,false,0.6166
39,"Device Non-Compliant / Session Decay",emergency.admin,patient-records,Write,Low,"Nigeria, Lagos",false,15587,0,false,ZTP-05,35,true,0.0248
40,"Emergency Break-Glass Override",emergency.admin,patient-records,Write,High,"Nigeria, Lagos",true,711,0,true,ZTP-05,45,true,0.0118
41,"Off-Hours Access Attempt",recordsadmin01,admin-records,Read,Low,"Nigeria, Lagos",true,7500,0,true,ZTP-OK,65,true,0.6016
42,"Lateral Access Attempt",vendor01,patient-records,Read,Low,"Nigeria, Lagos",true,1530,0,false,ZTP-RBAC,100,false,0.6573
43,"Device Non-Compliant / Session Decay",itsecurityadmin01,patient-records,Read,Low,"Nigeria, Lagos",false,19512,0,false,ZTP-02,35,false,0.5769
44,"Emergency Break-Glass Override",emergency.admin,patient-records,Write,High,"Nigeria, Lagos",true,2811,0,false,ZTP-05,45,true,0.0451
45,"Lateral Access Attempt",vendor01,patient-records,Read,Low,"Nigeria, Lagos",true,2656,0,false,ZTP-RBAC,100,false,0.5783
46,"Location / Travel Anomaly",officer@hmc.com,patient-records,Read,High,"Australia, Sydney",true,660,1063,false,ZTP-02,0,false,0.5686
47,"Authorized Clinical Access",doctor01,patient-records,Write,Low,"Nigeria, Lagos",true,1976,0,true,ZTP-OK,100,true,1.3878
48,"Location / Travel Anomaly",doctor01,patient-records,Read,Medium,"Russia, Moscow",true,25,1237,false,ZTP-02,20,true,0.6041
49,"Authorized Clinical Access",doctor01,patient-records,Write,Low,"Nigeria, Lagos",true,1592,0,true,ZTP-OK,100,true,1.3056
50,"Authorized Clinical Access",doctor01,patient-records,Read,Low,"Nigeria, Lagos",true,3551,0,true,ZTP-OK,100,true,1.7431
51,"Location / Travel Anomaly",itsecurityadmin01,patient-records,Read,High,"Russia, Moscow",true,2977,976,false,ZTP-02,0,false,0.9212
52,"Authorized Clinical Access",nurse01,patient-records,Read,Low,"Nigeria, Lagos",true,2200,0,false,ZTP-RBAC,100,true,1.3502
53,"Location / Travel Anomaly",auditor01,patient-records,Read,Medium,"Unknown / VPN",true,1875,1128,false,ZTP-02,20,false,0.684
54,"Location / Travel Anomaly",officer@hmc.com,patient-records,Read,Medium,"Russia, Moscow",true,537,1099,false,ZTP-02,20,false,0.5817
55,"Off-Hours Access Attempt",recordsadmin01,admin-records,Read,Low,"Nigeria, Lagos",true,7500,0,true,ZTP-OK,65,true,0.625
56,"Device Non-Compliant / Session Decay",doctor01,patient-records,Write,Low,"Nigeria, Lagos",false,17379,0,false,ZTP-02,35,true,0.6045
57,"Authorized Clinical Access",doctor01,patient-records,Write,Low,"Nigeria, Lagos",true,362,0,true,ZTP-OK,100,true,1.3661
58,"Off-Hours Access Attempt",recordsadmin01,admin-records,Read,Low,"Nigeria, Lagos",true,7500,0,true,ZTP-OK,65,true,0.6333
59,"Lateral Access Attempt",recordsadmin01,patient-records,Read,Low,"Nigeria, Lagos",true,1183,0,false,ZTP-RBAC,100,false,0.6228
60,"Location / Travel Anomaly",vendor01,patient-records,Write,High,"Russia, Moscow",true,630,1213,false,ZTP-02,0,false,0.5181
61,"Authorized Clinical Access",doctor01,patient-records,Read,Low,"Nigeria, Lagos",true,12,0,true,ZTP-OK,100,true,1.1913
62,"Lateral Access Attempt",vendor01,patient-records,Read,Low,"Nigeria, Lagos",true,1554,0,false,ZTP-RBAC,100,false,0.5533
63,"Device Non-Compliant / Session Decay",emergency.admin,patient-records,Read,Low,"Nigeria, Lagos",false,15191,0,false,ZTP-05,35,true,0.0245
64,"Location / Travel Anomaly",doctor01,patient-records,Write,Medium,"Australia, Sydney",true,3083,1106,false,ZTP-02,20,true,0.5704
65,"Location / Travel Anomaly",nurse01,patient-records,Read,Medium,"Unknown / VPN",true,2877,1161,false,ZTP-02,20,true,0.5548
66,"Device Non-Compliant / Session Decay",recordsadmin01,patient-records,Read,Low,"Nigeria, Lagos",false,18051,0,false,ZTP-02,35,false,0.5671
67,"Authorized Clinical Access",doctor01,patient-records,Read,Low,"Nigeria, Lagos",true,862,0,true,ZTP-OK,100,true,1.2267
68,"Emergency Break-Glass Override",emergency.admin,patient-records,Write,High,"Nigeria, Lagos",true,1477,0,false,ZTP-05,45,true,0.0471
69,"Lateral Access Attempt",recordsadmin01,patient-records,Read,Low,"Nigeria, Lagos",true,1461,0,false,ZTP-RBAC,100,false,0.6838
70,"Location / Travel Anomaly",officer@hmc.com,patient-records,Read,Medium,"Australia, Sydney",true,1828,1032,false,ZTP-02,20,false,0.5349
71,"Off-Hours Access Attempt",recordsadmin01,admin-records,Read,Low,"Nigeria, Lagos",true,7500,0,true,ZTP-OK,65,true,0.6711
72,"Location / Travel Anomaly",doctor01,patient-records,Read,Medium,"Russia, Moscow",true,2924,1111,false,ZTP-02,20,true,0.7128
73,"Authorized Clinical Access",doctor01,patient-records,Write,Low,"Nigeria, Lagos",true,677,0,true,ZTP-OK,100,true,1.39
74,"Location / Travel Anomaly",recordsadmin01,patient-records,Write,Medium,"Unknown / VPN",true,33,1340,false,ZTP-02,20,false,0.6198
75,"Lateral Access Attempt",vendor01,patient-records,Read,Low,"Nigeria, Lagos",true,3463,0,false,ZTP-RBAC,100,false,0.5389
76,"Location / Travel Anomaly",vendor01,patient-records,Read,High,"Australia, Sydney",true,1482,1195,false,ZTP-02,0,false,0.5739
77,"Authorized Clinical Access",nurse01,patient-records,Read,Low,"Nigeria, Lagos",true,287,0,false,ZTP-RBAC,100,true,1.1436
78,"Emergency Break-Glass Override",emergency.admin,patient-records,Write,High,"Nigeria, Lagos",true,1718,0,false,ZTP-05,45,true,0.0254
79,"Device Non-Compliant / Session Decay",emergency.admin,patient-records,Read,Low,"Nigeria, Lagos",false,18099,0,false,ZTP-05,35,true,0.0077
80,"Lateral Access Attempt",recordsadmin01,patient-records,Read,Low,"Nigeria, Lagos",true,2543,0,false,ZTP-RBAC,100,false,0.536
81,"Location / Travel Anomaly",nurse01,patient-records,Read,High,"Russia, Moscow",true,197,1169,false,ZTP-02,0,true,0.5754
82,"Authorized Clinical Access",doctor01,patient-records,Write,Low,"Nigeria, Lagos",true,2070,0,true,ZTP-OK,100,true,1.3062
83,"Authorized Clinical Access",doctor01,patient-records,Write,Low,"Nigeria, Lagos",true,2649,0,true,ZTP-OK,100,true,1.3191
84,"Lateral Access Attempt",vendor01,patient-records,Read,Low,"Nigeria, Lagos",true,2306,0,false,ZTP-RBAC,100,false,0.7375
85,"Authorized Clinical Access",doctor01,patient-records,Read,Low,"Nigeria, Lagos",true,274,0,true,ZTP-OK,100,true,3.0337
86,"Location / Travel Anomaly",officer@hmc.com,patient-records,Read,High,"Unknown / VPN",true,370,1274,false,ZTP-02,0,false,0.6301
87,"Authorized Clinical Access",nurse01,patient-records,Read,Low,"Nigeria, Lagos",true,805,0,false,ZTP-RBAC,100,true,1.1796
88,"Lateral Access Attempt",vendor01,patient-records,Read,Low,"Nigeria, Lagos",true,725,0,false,ZTP-RBAC,100,false,0.6016
89,"Authorized Clinical Access",doctor01,patient-records,Write,Low,"Nigeria, Lagos",true,2447,0,true,ZTP-OK,100,true,1.1328
90,"Authorized Clinical Access",doctor01,patient-records,Write,Low,"Nigeria, Lagos",true,1938,0,true,ZTP-OK,100,true,1.9431
91,"Location / Travel Anomaly",itsecurityadmin01,patient-records,Write,High,"Australia, Sydney",true,1135,1255,false,ZTP-02,0,false,0.7046
92,"Location / Travel Anomaly",vendor01,patient-records,Read,High,"Unknown / VPN",true,1403,979,false,ZTP-02,0,false,0.8551
93,"Authorized Clinical Access",doctor01,patient-records,Read,Low,"Nigeria, Lagos",true,577,0,true,ZTP-OK,100,true,1.3011
94,"Authorized Clinical Access",doctor01,patient-records,Read,Low,"Nigeria, Lagos",true,3041,0,true,ZTP-OK,100,true,1.1691
95,"Device Non-Compliant / Session Decay",emergency.admin,patient-records,Read,Low,"Nigeria, Lagos",false,16927,0,false,ZTP-05,35,true,0.0164
96,"Authorized Clinical Access",doctor01,patient-records,Write,Low,"Nigeria, Lagos",true,1609,0,true,ZTP-OK,100,true,1.1339
97,"Location / Travel Anomaly",nurse01,patient-records,Read,High,"Australia, Sydney",true,2396,1117,false,ZTP-02,0,true,0.5438
98,"Device Non-Compliant / Session Decay",recordsadmin01,patient-records,Write,Low,"Nigeria, Lagos",false,19845,0,false,ZTP-02,35,false,0.6004
99,"Authorized Clinical Access",nurse01,patient-records,Read,Low,"Nigeria, Lagos",true,3105,0,false,ZTP-RBAC,100,true,1.1824
100,"Location / Travel Anomaly",vendor01,patient-records,Write,Medium,"Australia, Sydney",true,889,1016,false,ZTP-02,20,false,0.672
101,"Authorized Clinical Access",doctor01,patient-records,Write,Low,"Nigeria, Lagos",true,1268,0,true,ZTP-OK,100,true,1.2334
102,"Location / Travel Anomaly",officer@hmc.com,patient-records,Write,High,"Russia, Moscow",true,2101,1283,false,ZTP-02,0,false,0.6799
103,"Authorized Clinical Access",nurse01,patient-records,Read,Low,"Nigeria, Lagos",true,2055,0,false,ZTP-RBAC,100,true,1.1374
104,"Lateral Access Attempt",vendor01,patient-records,Read,Low,"Nigeria, Lagos",true,557,0,false,ZTP-RBAC,100,false,0.5995
105,"Emergency Break-Glass Override",emergency.admin,patient-records,Write,High,"Nigeria, Lagos",true,848,0,true,ZTP-05,45,true,0.0305
106,"Lateral Access Attempt",recordsadmin01,patient-records,Read,Low,"Nigeria, Lagos",true,1069,0,false,ZTP-RBAC,100,false,0.7693
107,"Device Non-Compliant / Session Decay",itsecurityadmin01,patient-records,Write,Low,"Nigeria, Lagos",false,19860,0,false,ZTP-02,35,false,0.8691
108,"Off-Hours Access Attempt",recordsadmin01,admin-records,Read,Low,"Nigeria, Lagos",true,7500,0,true,ZTP-OK,65,true,0.6764
109,"Authorized Clinical Access",doctor01,patient-records,Write,Low,"Nigeria, Lagos",true,366,0,true,ZTP-OK,100,true,1.5132
110,"Emergency Break-Glass Override",emergency.admin,patient-records,Write,High,"Nigeria, Lagos",true,2317,0,false,ZTP-05,45,true,0.0433
111,"Off-Hours Access Attempt",recordsadmin01,admin-records,Read,Low,"Nigeria, Lagos",true,7500,0,true,ZTP-OK,65,true,0.6912
112,"Device Non-Compliant / Session Decay",doctor01,patient-records,Write,Low,"Nigeria, Lagos",false,18535,0,false,ZTP-02,35,true,0.6277
113,"Lateral Access Attempt",recordsadmin01,patient-records,Read,Low,"Nigeria, Lagos",true,3525,0,false,ZTP-RBAC,100,false,0.5512
114,"Authorized Clinical Access",nurse01,patient-records,Read,Low,"Nigeria, Lagos",true,2537,0,false,ZTP-RBAC,100,true,1.136
115,"Off-Hours Access Attempt",recordsadmin01,admin-records,Write,Low,"Nigeria, Lagos",true,7500,0,true,ZTP-OK,65,true,0.5957
116,"Device Non-Compliant / Session Decay",vendor01,patient-records,Write,Low,"Nigeria, Lagos",false,15388,0,false,ZTP-02,35,false,0.5817
117,"Device Non-Compliant / Session Decay",auditor01,patient-records,Write,Low,"Nigeria, Lagos",false,19364,0,false,ZTP-02,35,false,0.5483
118,"Authorized Clinical Access",doctor01,patient-records,Read,Low,"Nigeria, Lagos",true,1328,0,true,ZTP-OK,100,true,1.238
119,"Authorized Clinical Access",nurse01,patient-records,Read,Low,"Nigeria, Lagos",true,2739,0,false,ZTP-RBAC,100,true,1.2869
120,"Authorized Clinical Access",doctor01,patient-records,Write,Low,"Nigeria, Lagos",true,3431,0,true,ZTP-OK,100,true,1.1363
121,"Location / Travel Anomaly",nurse01,patient-records,Write,Medium,"Australia, Sydney",true,1736,1105,false,ZTP-02,20,false,0.5592
122,"Location / Travel Anomaly",recordsadmin01,patient-records,Write,High,"Unknown / VPN",true,1045,1083,false,ZTP-02,0,false,0.8336
123,"Off-Hours Access Attempt",recordsadmin01,admin-records,Write,Low,"Nigeria, Lagos",true,7500,0,true,ZTP-OK,65,true,0.8128
124,"Off-Hours Access Attempt",recordsadmin01,admin-records,Read,Low,"Nigeria, Lagos",true,7500,0,true,ZTP-OK,65,true,0.5854
125,"Authorized Clinical Access",doctor01,patient-records,Write,Low,"Nigeria, Lagos",true,2281,0,true,ZTP-OK,100,true,1.1175
126,"Authorized Clinical Access",doctor01,patient-records,Write,Low,"Nigeria, Lagos",true,2792,0,true,ZTP-OK,100,true,1.284
127,"Emergency Break-Glass Override",emergency.admin,patient-records,Write,High,"Nigeria, Lagos",true,2697,0,false,ZTP-05,45,true,0.0354
128,"Location / Travel Anomaly",doctor01,patient-records,Read,Medium,"Unknown / VPN",true,3289,965,false,ZTP-02,20,true,1.0663
129,"Device Non-Compliant / Session Decay",nurse01,patient-records,Write,Low,"Nigeria, Lagos",false,19312,0,false,ZTP-02,35,false,0.9476
130,"Device Non-Compliant / Session Decay",recordsadmin01,patient-records,Read,Low,"Nigeria, Lagos",false,19735,0,false,ZTP-02,35,false,1.0449
131,"Device Non-Compliant / Session Decay",itsecurityadmin01,patient-records,Read,Low,"Nigeria, Lagos",false,18258,0,false,ZTP-02,35,false,0.8581
132,"Lateral Access Attempt",vendor01,patient-records,Read,Low,"Nigeria, Lagos",true,1080,0,false,ZTP-RBAC,100,false,0.5943
133,"Location / Travel Anomaly",auditor01,patient-records,Read,Medium,"Australia, Sydney",true,3583,979,false,ZTP-02,20,false,0.5671
134,"Authorized Clinical Access",nurse01,patient-records,Read,Low,"Nigeria, Lagos",true,2725,0,false,ZTP-RBAC,100,true,1.1397
135,"Location / Travel Anomaly",emergency.admin,patient-records,Read,Medium,"Russia, Moscow",true,981,1159,false,ZTP-05,20,true,0.013
136,"Device Non-Compliant / Session Decay",doctor01,patient-records,Write,Low,"Nigeria, Lagos",false,15329,0,false,ZTP-02,35,true,0.5558
137,"Authorized Clinical Access",nurse01,patient-records,Read,Low,"Nigeria, Lagos",true,2492,0,false,ZTP-RBAC,100,true,1.2628
138,"Device Non-Compliant / Session Decay",recordsadmin01,patient-records,Write,Low,"Nigeria, Lagos",false,15477,0,false,ZTP-02,35,false,0.5803
139,"Lateral Access Attempt",recordsadmin01,patient-records,Read,Low,"Nigeria, Lagos",true,1057,0,false,ZTP-RBAC,100,false,0.729
140,"Location / Travel Anomaly",vendor01,patient-records,Read,Medium,"Unknown / VPN",true,433,1124,false,ZTP-02,20,false,0.5814
141,"Device Non-Compliant / Session Decay",auditor01,patient-records,Read,Low,"Nigeria, Lagos",false,16460,0,false,ZTP-02,35,false,0.8571
142,"Off-Hours Access Attempt",recordsadmin01,admin-records,Read,Low,"Nigeria, Lagos",true,7500,0,true,ZTP-OK,65,true,1.0121
143,"Location / Travel Anomaly",emergency.admin,patient-records,Read,Medium,"Unknown / VPN",true,192,1083,false,ZTP-05,20,true,0.014
144,"Authorized Clinical Access",nurse01,patient-records,Read,Low,"Nigeria, Lagos",true,2511,0,false,ZTP-RBAC,100,true,1.56
145,"Lateral Access Attempt",vendor01,patient-records,Read,Low,"Nigeria, Lagos",true,396,0,false,ZTP-RBAC,100,false,0.9557
146,"Device Non-Compliant / Session Decay",recordsadmin01,patient-records,Write,Low,"Nigeria, Lagos",false,18564,0,false,ZTP-02,35,false,0.6195
147,"Location / Travel Anomaly",itsecurityadmin01,patient-records,Write,High,"Russia, Moscow",true,810,1037,false,ZTP-02,0,false,0.637
148,"Device Non-Compliant / Session Decay",vendor01,patient-records,Write,Low,"Nigeria, Lagos",false,18351,0,false,ZTP-02,35,false,0.8303
149,"Authorized Clinical Access",nurse01,patient-records,Read,Low,"Nigeria, Lagos",true,3248,0,false,ZTP-RBAC,100,true,1.7658
150,"Emergency Break-Glass Override",emergency.admin,patient-records,Write,High,"Nigeria, Lagos",true,403,0,true,ZTP-05,45,true,0.0662
151,"Off-Hours Access Attempt",recordsadmin01,admin-records,Read,Low,"Nigeria, Lagos",true,7500,0,true,ZTP-OK,65,true,0.684
152,"Location / Travel Anomaly",doctor01,patient-records,Read,Medium,"Unknown / VPN",true,1805,1038,false,ZTP-02,20,true,0.7173
153,"Off-Hours Access Attempt",recordsadmin01,admin-records,Read,Low,"Nigeria, Lagos",true,7500,0,true,ZTP-OK,65,true,0.6505
154,"Off-Hours Access Attempt",recordsadmin01,admin-records,Read,Low,"Nigeria, Lagos",true,7500,0,true,ZTP-OK,65,true,0.7836
155,"Location / Travel Anomaly",itsecurityadmin01,patient-records,Read,Medium,"Unknown / VPN",true,3568,1057,false,ZTP-02,20,false,0.7222
156,"Location / Travel Anomaly",vendor01,patient-records,Read,Medium,"Russia, Moscow",true,404,956,false,ZTP-02,20,false,0.6005
157,"Device Non-Compliant / Session Decay",auditor01,patient-records,Write,Low,"Nigeria, Lagos",false,15731,0,false,ZTP-02,35,false,0.7981
158,"Authorized Clinical Access",doctor01,patient-records,Read,Low,"Nigeria, Lagos",true,3390,0,true,ZTP-OK,100,true,1.1824
159,"Lateral Access Attempt",vendor01,patient-records,Read,Low,"Nigeria, Lagos",true,1896,0,false,ZTP-RBAC,100,false,0.6407
160,"Emergency Break-Glass Override",emergency.admin,patient-records,Write,High,"Nigeria, Lagos",true,3138,0,false,ZTP-05,45,true,0.0146
161,"Authorized Clinical Access",doctor01,patient-records,Write,Low,"Nigeria, Lagos",true,3060,0,true,ZTP-OK,100,true,1.2097
162,"Device Non-Compliant / Session Decay",recordsadmin01,patient-records,Write,Low,"Nigeria, Lagos",false,19556,0,false,ZTP-02,35,false,0.6802
163,"Authorized Clinical Access",doctor01,patient-records,Write,Low,"Nigeria, Lagos",true,2564,0,true,ZTP-OK,100,true,1.1615
164,"Location / Travel Anomaly",vendor01,patient-records,Read,Medium,"Unknown / VPN",true,640,1138,false,ZTP-02,20,false,0.5779
165,"Location / Travel Anomaly",auditor01,patient-records,Read,Medium,"Russia, Moscow",true,2001,1230,false,ZTP-02,20,false,0.5575
166,"Device Non-Compliant / Session Decay",officer@hmc.com,patient-records,Write,Low,"Nigeria, Lagos",false,17480,0,false,ZTP-02,35,false,0.5507
167,"Authorized Clinical Access",nurse01,patient-records,Read,Low,"Nigeria, Lagos",true,3058,0,false,ZTP-RBAC,100,true,1.1654
168,"Device Non-Compliant / Session Decay",doctor01,patient-records,Write,Low,"Nigeria, Lagos",false,16409,0,false,ZTP-02,35,true,0.5915
169,"Device Non-Compliant / Session Decay",nurse01,patient-records,Write,Low,"Nigeria, Lagos",false,19723,0,false,ZTP-02,35,false,0.8668
170,"Lateral Access Attempt",vendor01,patient-records,Read,Low,"Nigeria, Lagos",true,1837,0,false,ZTP-RBAC,100,false,1.2962
171,"Authorized Clinical Access",doctor01,patient-records,Read,Low,"Nigeria, Lagos",true,974,0,true,ZTP-OK,100,true,1.2969
172,"Location / Travel Anomaly",vendor01,patient-records,Write,High,"Australia, Sydney",true,1937,963,false,ZTP-02,0,false,0.7103
173,"Off-Hours Access Attempt",recordsadmin01,admin-records,Read,Low,"Nigeria, Lagos",true,7500,0,true,ZTP-OK,65,true,0.7936
174,"Lateral Access Attempt",vendor01,patient-records,Read,Low,"Nigeria, Lagos",true,58,0,false,ZTP-RBAC,100,false,0.6679
175,"Off-Hours Access Attempt",recordsadmin01,admin-records,Write,Low,"Nigeria, Lagos",true,7500,0,true,ZTP-OK,65,true,0.5541
176,"Location / Travel Anomaly",doctor01,patient-records,Read,Medium,"Unknown / VPN",true,2115,1204,false,ZTP-02,20,true,0.6333
177,"Off-Hours Access Attempt",recordsadmin01,admin-records,Read,Low,"Nigeria, Lagos",true,7500,0,true,ZTP-OK,65,true,0.5172
178,"Authorized Clinical Access",nurse01,patient-records,Read,Low,"Nigeria, Lagos",true,1601,0,false,ZTP-RBAC,100,true,1.1981
179,"Authorized Clinical Access",doctor01,patient-records,Write,Low,"Nigeria, Lagos",true,2649,0,true,ZTP-OK,100,true,1.1283
180,"Lateral Access Attempt",vendor01,patient-records,Read,Low,"Nigeria, Lagos",true,477,0,false,ZTP-RBAC,100,false,0.5613
181,"Authorized Clinical Access",doctor01,patient-records,Read,Low,"Nigeria, Lagos",true,3307,0,true,ZTP-OK,100,true,2.8203
182,"Authorized Clinical Access",nurse01,patient-records,Read,Low,"Nigeria, Lagos",true,1681,0,false,ZTP-RBAC,100,true,1.1891
183,"Lateral Access Attempt",recordsadmin01,patient-records,Read,Low,"Nigeria, Lagos",true,3100,0,false,ZTP-RBAC,100,false,0.5324
184,"Device Non-Compliant / Session Decay",doctor01,patient-records,Read,Low,"Nigeria, Lagos",false,17512,0,false,ZTP-02,35,true,0.5126
185,"Authorized Clinical Access",nurse01,patient-records,Read,Low,"Nigeria, Lagos",true,751,0,false,ZTP-RBAC,100,true,1.2352
186,"Lateral Access Attempt",vendor01,patient-records,Read,Low,"Nigeria, Lagos",true,2382,0,false,ZTP-RBAC,100,false,0.5993
187,"Lateral Access Attempt",vendor01,patient-records,Read,Low,"Nigeria, Lagos",true,2995,0,false,ZTP-RBAC,100,false,0.6581
188,"Device Non-Compliant / Session Decay",vendor01,patient-records,Write,Low,"Nigeria, Lagos",false,19253,0,false,ZTP-02,35,false,1.0729
189,"Device Non-Compliant / Session Decay",auditor01,patient-records,Write,Low,"Nigeria, Lagos",false,16640,0,false,ZTP-02,35,false,1.1094
190,"Location / Travel Anomaly",officer@hmc.com,patient-records,Read,High,"Australia, Sydney",true,476,1324,false,ZTP-02,0,false,1.0867
191,"Lateral Access Attempt",recordsadmin01,patient-records,Read,Low,"Nigeria, Lagos",true,797,0,false,ZTP-RBAC,100,false,1.1854
192,"Device Non-Compliant / Session Decay",doctor01,patient-records,Read,Low,"Nigeria, Lagos",false,16757,0,false,ZTP-02,35,true,1.0781
193,"Location / Travel Anomaly",nurse01,patient-records,Read,Medium,"Australia, Sydney",true,3257,1282,false,ZTP-02,20,true,0.8315
194,"Lateral Access Attempt",recordsadmin01,patient-records,Read,Low,"Nigeria, Lagos",true,1450,0,false,ZTP-RBAC,100,false,0.8351
195,"Emergency Break-Glass Override",emergency.admin,patient-records,Write,High,"Nigeria, Lagos",true,3561,0,false,ZTP-05,45,true,0.0174
196,"Authorized Clinical Access",nurse01,patient-records,Read,Low,"Nigeria, Lagos",true,282,0,false,ZTP-RBAC,100,true,1.0455
197,"Authorized Clinical Access",nurse01,patient-records,Read,Low,"Nigeria, Lagos",true,2033,0,false,ZTP-RBAC,100,true,1.175
